 Iteration,         x1,         x2,    Fitness,         r1,         r2
         0,   4.881674, 4.85930039, 207.538401, 202.538401, 415.076802
         0, -4.9076799,  4.8470364, 185.245519, 180.245519, 370.491039
         0,  4.8559415,  -4.895815, 184.775677, 179.775677, 369.551354
         0, 4.90755000, -4.7750961, 175.222252, 170.222252, 350.444504
         0,  4.9070234,  4.5483624, 169.391254, 164.391254, 338.782509
         0, 4.93387790, 4.47448749, 165.322909, 160.322909, 330.645819
         0, 4.59538780, -4.9385427, 155.480686, 150.480686, 310.961373
         0,   4.569257, -4.8700209, 141.684617, 136.684617, 283.369235
         0,  4.5102206, 4.72730100, 138.180988, 133.180988, 276.361976
         0, 4.93026080, 4.19482449, 137.826442, 132.826442, 275.652885
         0,   -4.98686, -4.4619105, 125.563734, 120.563734, 251.127468
         0, 4.81989670, -4.4616707, 123.775841, 118.775841, 247.551682
         0,  4.1070233,  4.8815133, 123.070221, 118.070221, 246.140442
         0,  4.9162135,  4.0291248, 122.982262, 117.982262, 245.964524
         0, -4.9989643, -4.4116593, 122.494606, 117.494606, 244.989213
         0, 4.97361079, 3.85266809, 121.539697, 116.539697, 243.079394
         0,  4.9549761, 0.59119469, 116.111271, 111.111271, 232.222542
         0, 0.60712030, 4.95449720, 115.925534, 110.925534, 231.851068
         0, -4.2771360, 4.86243300, 112.801063, 107.801063, 225.602126
         0,  4.7250438,  -4.474502, 111.498283, 106.498283, 222.996567
         0,  4.8325906,  4.0432854, 110.907177, 105.907177, 221.814354
         0,    4.12105, -4.9449327, 109.627980,  104.62798, 219.255961
         0, 3.51441430, 4.98581379, 108.818449, 103.818449, 217.636898
         0,  4.5755456, 4.41145670, 107.809307, 102.809307, 215.618615
         0,  4.6410011, -4.5337944, 106.736484, 101.736484, 213.472968
         0, 3.65850260,  4.9390891, 106.382650,  101.38265, 212.765301
         0, -4.6634401, -4.6992478, 106.256982, 101.256982, 212.513964
         0, -0.3125134, 4.89157509, 105.513846, 100.513846, 211.027692
         0,  -4.410013, -4.8785274, 103.129916, 98.1299166, 206.259833
         0,  4.7313858,  4.1264526, 102.372158, 97.3721581, 204.744316
         0, 4.94824810, -1.2294850, 102.226597, 97.2265975, 204.453195
         0, 2.21395209,  4.9927376, 102.085749, 97.0857492, 204.171498
         0,  4.9540223, -3.8866689, 100.741850, 95.7418501,   201.4837
         0, 4.99955530, -1.7701146, 100.340389, 95.3403899, 200.680779
         0, -4.9981627, 0.43284589, 99.2932853, 94.2932853,  198.58657
         0, 3.13674629, 4.97033869, 97.4752673, 92.4752673, 194.950534
         0, 4.65107169,  4.1928021, 96.9160571, 91.9160571, 193.832114
         0,  4.6386351, -4.4427275, 96.7318473, 91.7318473, 193.463694
         0, 4.83136890, 0.58004079, 96.5839569, 91.5839569, 193.167913
         0,   2.031123,  4.9342203, 94.5239092, 89.5239092, 189.047818
         0, 4.23770169,  4.5997337, 94.2361970,  89.236197, 188.472394
         0, 4.55518749, 4.26654199, 91.3866720,  86.386672, 182.773344
         0, -4.6069221, -4.6276418, 90.3291540,  85.329154, 180.658308
         0,  4.9831652, -3.4864208, 90.0314407, 85.0314407, 180.062881
         0, 1.35714440, -4.9912809, 88.8989593, 83.8989593, 177.797918
         0, 1.34753820,  4.8349583, 88.8013781, 83.8013781, 177.602756
         0, -0.2735538, 4.77788389, 88.6023616, 83.6023616, 177.204723
         0, -2.3203268, 4.98797369, 88.5562665, 83.5562665, 177.112533
         0, -4.9521028, 3.76165319, 88.4454285, 83.4454285, 176.890857
         0, -0.1367291, -4.9310161, 88.2695549, 83.2695549, 176.539109
         0,   4.878079, 3.36485930, 86.8774711, 81.8774711, 173.754942
         0, 1.17513080, -4.9630125, 86.7395976, 81.7395976, 173.479195
         0,  4.8721041, 1.89610249, 86.4544876, 81.4544876, 172.908975
         0,  4.0927477, 4.62973900, 86.3352530,  81.335253, 172.670506
         0, 4.79282499,  -0.778556, 85.4381804, 80.4381804,  170.87636
         0,  4.8408269, -1.2841138, 84.1578004, 79.1578004,   168.3156
         0, 4.82709430, -3.9422141, 83.7037862, 78.7037862, 167.407572
         0, -2.4488021,  4.9639612, 82.7546112, 77.7546112, 165.509222
         0, 1.88992970, -4.9981104, 82.2128723, 77.2128723, 164.425744
         0, -0.9476649,  4.7869039, 82.0372145, 77.0372145, 164.074429
         0, 1.37965910, -4.9490523, 81.6718896, 76.6718896, 163.343779
         0, -4.9698765, -1.2356422, 80.8768127, 75.8768127, 161.753625
         0, -4.1807397, -4.8491905, 78.6991033, 73.6991033, 157.398206
         0,  3.3482728, 4.82403219, 78.1919115, 73.1919115, 156.383823
         0,  4.9127758, -2.2006978, 77.9383239, 72.9383239, 155.876647
         0,  3.8510612, -4.8518074, 77.5735112, 72.5735112, 155.147022
         0,  1.6017877,  4.7826813, 77.3453939, 72.3453939, 154.690787
         0, 1.86836710,  4.8082587, 77.1554352, 72.1554352,  154.31087
         0, 4.00922409, -4.7811604, 77.0661966, 72.0661966, 154.132393
         0, 4.79291119, 1.76699860, 76.3761933, 71.3761933, 152.752386
         0, -0.4619678, 4.69993980, 76.1664784, 71.1664784, 152.332956
         0,  4.2945975,  4.3920668, 75.9855991, 70.9855991, 151.971198
         0, -4.9182383, 1.44202469, 75.8789693, 70.8789693, 151.757938
         0, 0.94103350, -4.8753143, 75.7978212, 70.7978212, 151.595642
         0, 0.88117050, -4.8689066, 75.4635722, 70.4635722, 150.927144
         0, -4.9334277, -3.9303497, 75.0509842, 70.0509842, 150.101968
         0,  3.5443064,  4.7585914, 74.3898505, 69.3898505, 148.779701
         0, -4.9041841, 1.41478479, 74.0844448, 69.0844448, 148.168889
         0, 4.83095709,  3.0378811, 74.0563451, 69.0563451,  148.11269
